Brand Name,Website,Country,Category,Price Tier,API/Affiliate Available,Integration Type,Priority,Source
Boyish Jeans,boyish.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor
Grlfrnd,grlfrnd.com,US,Denim,High,Yes,Affiliate,Medium,Competitor
Lulus,lulus.com,US,Contemporary,Budget-Mid,Yes,Affiliate,Critical,Existing
Show Me Your MuMu,showmeyourmumu.com,US,Contemporary,Mid,Yes,Affiliate,High,ShopMy
For Love and Lemons,forloveandlemons.com,US,Designer,High,Yes,Affiliate,High,ShopMy
Cult Gaia,cultgaia.com,US,Designer,High,Yes,Affiliate,High,ShopMy
Zimmermann,zimmermannwear.com,Australia,Designer,Luxury,Yes,Affiliate,High,ShopMy
FARM Rio,farmrio.com,Brazil,Contemporary,Mid-High,Yes,Affiliate,High,ShopMy
Faithfull The Brand,faithfullthebrand.com,Indonesia,Contemporary,Mid,Yes,Affiliate,High,Competitor
Spell,spell.co,Australia,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
Mara Hoffman,marahoffman.com,US,Designer,High,Yes,Affiliate,Medium,Competitor
Lisa Marie Fernandez,lisamariefernandez.com,US,Designer,Luxury,Limited,Manual,Low,Competitor
Solid & Striped,solidandstriped.com,US,Swimwear,Mid-High,Yes,Affiliate,High,LTK
Frankies Bikinis,frankiesbikinis.com,US,Swimwear,Mid-High,Yes,Affiliate,Critical,Competitor
Vitamin A,vitaminaswim.com,US,Swimwear,High,Yes,Affiliate,High,LTK
Mikoh,mikohs wear.com,US,Swimwear,High,Yes,Affiliate,High,LTK
L*Space,lspace.com,US,Swimwear,Mid,Yes,Affiliate,High,LTK
Seafolly,seafolly.com,Australia,Swimwear,Mid,Yes,Affiliate,High,Competitor
Triangl,triangl.com,Australia,Swimwear,Mid,Yes,Affiliate,Medium,Competitor
Montce,montce.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor
Jade Swim,jadeswim.com,US,Swimwear,High,Yes,Affiliate,Medium,Competitor
Bound by Bond-Eye,boundbythebeach.com,Australia,Swimwear,Mid-High,Yes,Affiliate,High,Competitor
Hunza G,hunzag.com,UK,Swimwear,High,Yes,Affiliate,Medium,Competitor
Aerie,ae.com/aerie,US,Swimwear,Budget,Yes,Affiliate,High,LTK
Steve Madden,stevemadden.com,US,Shoes,Mid,Yes,Affiliate,Critical,LTK
Sam Edelman,samedelman.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Dolce Vita,dolcevita.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK
Marc Fisher,marcfisherfootwear.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Stuart Weitzman,stuartweitzman.com,US,Shoes,Luxury,Yes,Affiliate,High,LTK
Aquazzura,aquazzura.com,Italy,Shoes,Luxury,Yes,Affiliate,Medium,LTK
Vince Camuto,vincecamuto.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Nine West,ninewest.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Naturalizer,naturalizer.com,US,Shoes,Mid,Yes,Affiliate,Medium,LTK
Cole Haan,colehaan.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK
Rothy's,rothys.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Allbirds,allbirds.com,US,Shoes,Mid,Yes,Affiliate,High,LTK
Veja,veja-store.com,France,Shoes,Mid,Yes,Affiliate,High,LTK
Dr. Martens,drmartens.com,UK,Shoes,Mid,Yes,Affiliate,High,LTK
Birkenstock,birkenstock.com,Germany,Shoes,Mid,Yes,Affiliate,High,LTK
Teva,teva.com,US,Shoes,Mid,Yes,Affiliate,Medium,LTK
Crocs,crocs.com,US,Shoes,Budget-Mid,Yes,Affiliate,High,LTK
UGG,ugg.com,US,Shoes,Mid-High,Yes,Affiliate,High,LTK
Sorel,sorel.com,Canada,Shoes,Mid-High,Yes,Affiliate,High,LTK
Golden Goose,goldengoosedeluxebrand.com,Italy,Shoes,Luxury,Limited,Manual,High,Competitor
Common Projects,commonprojects.com,Italy,Shoes,Luxury,Limited,Manual,Medium,Competitor
APL,athleticpropulsionlabs.com,US,Shoes,High,Yes,Affiliate,Medium,Competitor
Tory Burch Shoes,toryburch.com,US,Shoes,High,Yes,Affiliate,High,LTK
Kate Spade,katespade.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK
Coach,coach.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK
Michael Kors,michaelkors.com,US,Accessories,Mid-High,Yes,Affiliate,High,LTK
Rebecca Minkoff,rebeccaminkoff.com,US,Accessories,Mid,Yes,Affiliate,High,LTK
Strathberry,strathberry.com,UK,Accessories,High,Yes,Affiliate,High,LTK
Polene,polene-paris.com,France,Accessories,Mid-High,Yes,Affiliate,High,LTK
DeMellier,demellierlondon.com,UK,Accessories,High,Yes,Affiliate,High,LTK
Cuyana,cuyana.com,US,Accessories,High,Yes,Affiliate,Critical,Competitor
Senreve,senreve.com,US,Accessories,High,Yes,Affiliate,High,LTK
Mansur Gavriel,mansurgavriel.com,US,Accessories,High,Yes,Affiliate,High,Competitor
Staud Bags,staud.clothing,US,Accessories,High,Yes,Affiliate,High,Competitor
Wandler,wandler.com,Germany,Accessories,High,Yes,Affiliate,Medium,Competitor
By Far,byfar.com,Bulgaria,Accessories,High,Yes,Affiliate,High,Competitor
Ratio et Motus,ratioetmotus.com,US,Accessories,High,Yes,Affiliate,Low,Competitor
Mejuri,mejuri.com,Canada,Jewelry,Mid,Yes,Affiliate,Critical,Competitor
AUrate,auratenewyork.com,US,Jewelry,Mid,Yes,Affiliate,High,Competitor
Catbird,catbirdnyc.com,US,Jewelry,Mid-High,Yes,Affiliate,High,LTK
Gorjana,gorjana.com,US,Jewelry,Mid,Yes,Affiliate,High,LTK
Kendra Scott,kendrascott.com,US,Jewelry,Mid,Yes,Affiliate,High,LTK
Monica Vinader,monicavinader.com,UK,Jewelry,High,Yes,Affiliate,High,LTK
Missoma,missoma.com,UK,Jewelry,Mid-High,Yes,Affiliate,High,LTK
Baublebar,baublebar.com,US,Jewelry,Budget-Mid,Yes,Affiliate,High,LTK
Uncommon James,uncommonjames.com,US,Jewelry,Mid,Yes,Affiliate,High,ShopMy
Jennifer Fisher,jenniferfisherjewelry.com,US,Jewelry,High,Yes,Affiliate,Medium,Competitor
Anine Bing,aninebing.com,US,Contemporary,High,Yes,Affiliate,High,Competitor
Rails,railsclothing.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
L'Academie,revolve.com/lacademie,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
Lioness,lioness.com,Australia,Fast Fashion,Mid,Yes,Affiliate,High,ShopMy
Motel Rocks,motelrocks.com,UK,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,ShopMy
Meshki,meshki.com.au,Australia,Contemporary,Mid,Yes,Affiliate,High,ShopMy
House of CB,houseofcb.com,UK,Contemporary,Mid,Yes,Affiliate,High,Competitor
Edikted,edikted.com,US,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,ShopMy
SKIMS,skims.com,US,Intimates,Mid-High,Limited,Manual,Critical,Competitor
Savage x Fenty,savagex.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor
ThirdLove,thirdlove.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor
True & Co,trueandco.com,US,Intimates,Mid,Yes,Affiliate,Medium,Competitor
Lively,wearlively.com,US,Intimates,Mid,Yes,Affiliate,High,Competitor
Victoria's Secret,victoriassecret.com,US,Intimates,Mid,Yes,Affiliate,High,LTK
Aerie,ae.com/aerie,US,Intimates,Budget-Mid,Yes,Affiliate,High,LTK
Hanky Panky,hankypanky.com,US,Intimates,Mid-High,Yes,Affiliate,Medium,LTK
Cosabella,cosabella.com,Italy,Intimates,High,Yes,Affiliate,Medium,LTK
Eberjey,eberjey.com,US,Intimates,Mid-High,Yes,Affiliate,Medium,LTK
Jenni Kayne,jennikayne.com,US,Lifestyle,Luxury,Yes,Affiliate,High,Competitor
Quince,quince.com,US,Contemporary,Budget-Mid,Yes,Affiliate,High,Competitor
Italic,italic.com,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
ABLE,livefashionable.com,US,Contemporary,Mid,Yes,Affiliate,High,Phia
Nisolo,nisolo.com,US,Shoes,Mid-High,Yes,Affiliate,High,Phia
Eileen Fisher,eileenfisher.com,US,Contemporary,High,Yes,Affiliate,High,Phia
Amour Vert,amourvert.com,US,Contemporary,Mid-High,Yes,Affiliate,Medium,Phia
Christy Dawn,christydawn.com,US,Contemporary,High,Yes,Affiliate,Medium,Phia
Whimsy + Row,whimsyandrow.com,US,Contemporary,Mid-High,Yes,Affiliate,Low,Phia
M.M.LaFleur,mmlafleur.com,US,Workwear,High,Yes,Affiliate,High,Phia
Argent,argentwork.com,US,Workwear,High,Limited,Manual,Medium,Phia
Babaa,babaa.es,Spain,Knitwear,High,Limited,Manual,Low,Phia
Kotn,kotn.com,Canada,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
StyleNanda,stylenanda.com,Korea,Fast Fashion,Mid,Limited,Manual,High,Competitor
Chuu,chuu.co.kr,Korea,Fast Fashion,Mid,Limited,Manual,High,Competitor
Mixxmix,mixxmix.us,Korea,Fast Fashion,Budget-Mid,Limited,Manual,Medium,Competitor
Stylenanda 3CE,stylenanda.com,Korea,Fast Fashion,Mid,Limited,Manual,Medium,Competitor
Ader Error,adererror.com,Korea,Designer,High,Limited,Manual,Medium,Competitor
Andersson Bell,anderssonbell.com,Korea,Designer,High,Yes,Affiliate,Medium,Competitor
Rocket X Lunch,rocketxlunch.com,Korea,Contemporary,Mid,Limited,Manual,Low,Competitor
Nerdy,nerdy.co.kr,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor
Romantic Crown,romanticcrown.com,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor
Sculptor,sculptorworld.com,Korea,Streetwear,Mid,Limited,Manual,Low,Competitor
W Concept,wconcept.com,Korea,Marketplace,Mid-High,Yes,Affiliate,High,Competitor
Kooding,kooding.com,Korea,Marketplace,Mid,Yes,Affiliate,Medium,Competitor
YesStyle,yesstyle.com,Hong Kong,Marketplace,Budget-Mid,Yes,Affiliate,High,Competitor
Stylevana,stylevana.com,Hong Kong,Marketplace,Budget,Yes,Affiliate,Medium,Competitor
Naked Wardrobe,nakedwardrobe.com,US,Contemporary,Mid,Yes,Affiliate,High,Competitor
Oh Polly,ohpolly.com,UK,Contemporary,Mid,Yes,Affiliate,High,Competitor
I.AM.GIA,iamgia.com,Australia,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
The Frankie Shop,thefrankieshop.com,US,Contemporary,High,Yes,Affiliate,High,Competitor
Aritzia,aritzia.com,Canada,Contemporary,Mid-High,Yes,Affiliate,Critical,Competitor
TNA,aritzia.com/tna,Canada,Activewear,Mid,Yes,Affiliate,High,Competitor
Wilfred,aritzia.com/wilfred,Canada,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
Babaton,aritzia.com/babaton,Canada,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
Sunday Best,aritzia.com/sunday-best,Canada,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
Oak + Fort,oakandfort.com,Canada,Contemporary,Mid,Yes,Affiliate,High,Competitor
Aritzia Denim Forum,aritzia.com/denim-forum,Canada,Denim,Mid,Yes,Affiliate,Medium,Competitor
Dynamite,dynamiteclothing.com,Canada,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor
Garage,garageclothing.com,Canada,Fast Fashion,Budget,Yes,Affiliate,Medium,Competitor
Simons,simons.ca,Canada,Department Store,Mid,Yes,Affiliate,Medium,Competitor
SMYTHE,smythecollection.com,Canada,Contemporary,High,Yes,Affiliate,Medium,Competitor
Aritizia's Auxiliary,aritzia.com/auxiliary,Canada,Contemporary,Mid,Yes,Affiliate,Low,Competitor
Community,aritzia.com/community,Canada,Contemporary,Mid-High,Yes,Affiliate,Low,Competitor
Scanlan Theodore,scanlantheo dore.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Camilla and Marc,camillaandmarc.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Bec + Bridge,becandbridge.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor
Alice McCall,alicemccall.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Sir The Label,sirthelabel.com,Australia,Designer,High,Yes,Affiliate,High,Competitor
Significant Other,significantother.com.au,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Shona Joy,shonajoy.com.au,Australia,Designer,Mid-High,Yes,Affiliate,Medium,Competitor
Sass & Bide,sassandbide.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Zimmermann,zimmermannwear.com,Australia,Designer,Luxury,Yes,Affiliate,High,Competitor
Bassike,bassike.com,Australia,Contemporary,High,Yes,Affiliate,Medium,Competitor
Aje,ajeworld.com.au,Australia,Designer,High,Yes,Affiliate,High,Competitor
Dion Lee,dionlee.com,Australia,Designer,Luxury,Limited,Manual,Medium,Competitor
Hansen & Gretel,hansenandgretel.com,Australia,Designer,High,Limited,Manual,Low,Competitor
Matteau,matteau.com,Australia,Designer,High,Yes,Affiliate,Medium,Competitor
Esse Studios,essestudios.com,New Zealand,Contemporary,High,Yes,Affiliate,Medium,Competitor
Paris Georgia,parisgeorgia.com,Australia,Designer,High,Limited,Manual,Low,Competitor
Third Form,thirdform.com.au,Australia,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor
The Upside,theupsidesport.com,Australia,Activewear,High,Yes,Affiliate,Medium,Competitor
P.E Nation,pe-nation.com,Australia,Activewear,High,Yes,Affiliate,High,Competitor
Double Rainbouu,doublerainbouu.com,Australia,Contemporary,Mid-High,Limited,Manual,Low,Competitor
Rowie,rowie.com.au,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
Rue Stiic,ruestiic.com,Australia,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
Mara & Mine,maraandmine.com.au,Australia,Contemporary,Mid,Limited,Manual,Low,Competitor
Dissh,dissh.com.au,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor
Stelly,stellyclothing.com,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Low,Competitor
Runaway The Label,runawaythelabel.com,Australia,Fast Fashion,Mid,Yes,Affiliate,Medium,Competitor
Hello Molly,hellomolly.com,Australia,Fast Fashion,Budget-Mid,Yes,Affiliate,Medium,Competitor
Meshki,meshki.com.au,Australia,Contemporary,Mid,Yes,Affiliate,High,Competitor
Sabina Musayev,sabinamusayev.com,US,Designer,High,Limited,Manual,Low,Competitor
Cinq à Sept,cinqasept.com,US,Designer,High,Yes,Affiliate,High,Competitor
A.L.C.,alcltd.com,US,Designer,High,Yes,Affiliate,High,Competitor
Ulla Johnson,ullajohnson.com,US,Designer,High,Yes,Affiliate,High,Competitor
Jonathan Simkhai,jonathansimkhai.com,US,Designer,High,Yes,Affiliate,Medium,Competitor
Rebecca Taylor,rebeccataylor.com,US,Designer,High,Yes,Affiliate,High,Competitor
Parker NY,parkern y.com,US,Designer,High,Yes,Affiliate,Medium,Competitor
Yumi Kim,yumikim.com,US,Contemporary,Mid-High,Yes,Affiliate,Medium,Competitor
Joie,joie.com,US,Contemporary,High,Yes,Affiliate,High,Competitor
Vince,vince.com,US,Contemporary,High,Yes,Affiliate,High,Phia
Splendid,splendid.com,US,Contemporary,Mid,Yes,Affiliate,Medium,Competitor
James Perse,jamesperse.com,US,Contemporary,High,Yes,Affiliate,Medium,Competitor
ATM Anthony Thomas Melillo,atmanth onyth omasmelillo.com,US,Contemporary,High,Limited,Manual,Low,Competitor
LNA,lnabrand.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor
Velvet,velvet-tees.com,US,Contemporary,Mid,Yes,Affiliate,Low,Competitor
Current/Elliott,currentelliott.com,US,Denim,High,Yes,Affiliate,Medium,Competitor
Hudson Jeans,hudsonjeans.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor
Flying Monkey,flyingmonkeyusa.com,US,Denim,Mid,Yes,Affiliate,Low,Competitor
Blank NYC,blanknyc.com,US,Denim,Mid,Yes,Affiliate,Medium,Competitor
KanCan,kancanusa.com,US,Denim,Mid,Yes,Affiliate,Low,Competitor
Pistola,pistolajean.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor
Habitual,habitual-la.com,US,Denim,Mid-High,Yes,Affiliate,Low,Competitor
L'Agence Denim,lagencefashion.com,US,Denim,High,Yes,Affiliate,Medium,Competitor
Veronica Beard Jeans,veronicabeard.com/jeans,US,Denim,High,Yes,Affiliate,Medium,Competitor
AYR,ayr.com,US,Denim,Mid-High,Yes,Affiliate,Medium,Competitor
Dôen,shopdoen.com,US,Contemporary,High,Yes,Affiliate,High,Competitor
Hill House Home,hillhousehome.com,US,Contemporary,Mid-High,Yes,Affiliate,High,Competitor
