brand,category_focus,region,primary_retailers,marketplaces,priority_score,notes,retailers_with_public_api,retailers_need_alt_access,distribution_status,distribution_evidence_source,deprioritized_reason
Farm Rio,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fergalicious,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fergie,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fifteen Twenty,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
FitFlop,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fitflop,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fleur du Mal,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Florsheim,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fossil,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Frame,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Frame Denim,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Frank And Oak,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fray I.D,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Free People,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
French Connection,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
French Connection Denim,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Frye,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Furla,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Fuzzi,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
G-Star RAW,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
G.H. Bass,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
G.H. Bass & Co.,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
G.L.M. by LULU'S,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
GAP,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
GEOX,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
GH Bass,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gabor,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gabor Comfort,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gabriela Hearst,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gal Meets Glam,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Galvan,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Galvan London,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Ganni,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Garage,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Generation Love,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gentle Souls,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gentle Souls by Kenneth Cole,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Georgina Chapman,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Geox,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Geox Respira,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Ghost,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Giambattista Valli,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Giani Bernini,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gianni Bini,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gibson,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gibsonlook,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gigi Burris,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Ginger & Smart,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Giorgio Armani,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gioseppo,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Giuseppe Zanotti,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Gola,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Golden Goose,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Good American,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Goorin Bros,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Grayson Threads,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Grlfrnd,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Guess Originals,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
H by Hudson,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
H&M,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Halogen,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Halpern,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Halston,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Halston Heritage,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hanky Panky,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hatch,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Havaianas,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Helmut Lang,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Herno,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Herve Leger,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hervé Léger,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hey Dude,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hinge,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hobbs,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hobbs London,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hogl,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hollister,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
House of Harlow,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
House of Harlow 1960,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
House of Sunny,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hugo,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hunter,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hunter Bell,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hush,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hush Puppies,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hush Puppies Vintage,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hutch,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
Hyfve,"dresses,tops",US/Canada,Nordstrom;Bloomingdale's;Macy's,Amazon;Walmart;Target,65,"Verify distribution, variants, and marketplace presence",,Nordstrom;Bloomingdale's;Macy's,unverified,,
