instagram_handle,source,ltk_signal,shopmy_signal,signal_source,signal_last_checked,other_shopping_link,other_shopping_link_type
kosta_williams,company.shopltk.com/en/ltk-ai,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
FashionLayn,company.shopltk.com/ltk-festival-box,Yes (LTK Featured Creator),Unknown,LTK Festival Box page,2026-02-03,,
signedwithatblog,company.shopltk.com/ltk-festival-box,Yes (LTK Featured Creator),Unknown,LTK Festival Box page,2026-02-03,,
tiabooth,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
oliviaculpo,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
nickyhilton,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
miike.gee,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
claudiaoshry,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
guerdyfy_your_style,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
Rachelshea_,company.shopltk.com/agencies-and-affiliates,Yes (LTK Featured Creator),Unknown,LTK Agencies & Affiliates page,2026-02-03,,
thehillarystyle,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
caraloren,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
Sweenandthekids,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
Sandyalamode,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
kathleen.post,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
bellistonfamily,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
thekleannutritionist,company.shopltk.com/en/ltk-ads,Yes (LTK Featured Creator),Unknown,LTK Ads page,2026-02-03,,
juliahavens,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
madisonpayne,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
stephtaylorjackson,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
laurenkaysims,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
sunsetsandstilettos,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
ambervenzbox,onbrand.shopltk.com/en-au/grow-your-ltk-following,Yes (LTK Featured Creator),Unknown,OnBrand Grow LTK page,2026-02-03,,
brookemoraleshome,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
brenna_anastasia,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
laineandlayne,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
thanya,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
tylauren,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
ZachWebber,company.shopltk.com/ltk-soiree,Yes (LTK Featured Creator),Unknown,LTK Soiree page,2026-02-03,,
9to5chic,company.shopltk.com/ltk-ctv,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
iamservante,company.shopltk.com/ltk-ctv,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
Sarah.Naja,company.shopltk.com/ltk-ctv,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
sbkliving,company.shopltk.com/ltk-ctv,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
bijpatel,company.shopltk.com/ltk-ctv,Yes (LTK Featured Creator),Unknown,LTK CTV page,2026-02-03,,
